Notes,Score,evidence
Video,3,https://www.youtube.com/watch?v=NaiekJTGSXg&ab_channel=SEGroup17
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",1,Work distribution not mentioned in the realease notes
Number of commits,3,https://github.com/tanay105/Classroom-Bot/graphs/commit-activity
Number of commits: by different people,1,https://github.com/elric97/feature-hunt/compare/v0.4.1...v0.4.2
Issues reports: there are many,2,https://github.com/tanay105/Classroom-Bot/issues?q=is%3Aopen+is%3Aissue https://github.com/tanay105/Classroom-Bot/issues?q=is%3Aissue+is%3Aclosed
Issues are being closed,1,https://github.com/tanay105/Classroom-Bot/issues?q=is%3Aopen+is%3Aissue
DOI badge: exists,3,https://zenodo.org/record/4137083
"Docs: doco generated, format not ugly",2,https://github.com/tanay105/Classroom-Bot/tree/master/docs
Docs: what: point descriptions of each class/function (in isolation),1,https://github.com/tanay105/Classroom-Bot/tree/master/docs
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",1,No separate videos present
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,https://github.com/tanay105/Classroom-Bot/blob/master/README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,https://www.youtube.com/watch?v=NaiekJTGSXg&ab_channel=SEGroup17
Use of version control tools,3,The project is controlled using GH which in itself is a version control
Use of style checkers,3,https://peps.python.org/pep-0008/
Use of code formatters.,1,package.json
Use of syntax checkers.,2,
Use of code coverage,2,https://github.com/tanay105/Classroom-Bot/blob/master/README.md
Other automated analysis tools,2,"Codacy, Snyk, Dependabot, CodeQL"
Test cases exist,0,Test plan is there but no tests present
Test cases are routinely executed,0,No cron setup or scheduler present
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/tanay105/Classroom-Bot/blob/master/CONTRIBUTING.md
Issues are discussed before they are closed,3,https://github.com/tanay105/Classroom-Bot/issues?q=is%3Aopen+is%3Aissue
Chat channel: exists,1,"There is no evidence available but the channel can be on any platform, but what the conversions on the issues are evident https://github.com/elric97/feature-hunt/issues?q=is%3Aissue+"
Test cases: a large proportion of the issues related to handling failing cases.,0,"https://github.com/elric97/feature-hunt/tree/main/test, https://github.com/elric97/feature-hunt/blob/main/Phase_3_Docs/deltaDocument.md"
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,No unit testcases present
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",2,https://github.com/tanay105/Classroom-Bot/blob/master/docs/APIs/Test%20Cases.postman_collection.json
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,https://github.com/tanay105/Classroom-Bot/blob/master/docs/APIs/Test%20Cases.postman_collection.json
Evidence that the members of the team are working across multiple places in the code base,2,https://github.com/elric97/feature-hunt/issues
Short release cycles,1,Not evident in since there are multiple people involved in the project
,,
,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/tanay105/Classroom-Bot/blob/master/README.md
Does your website and documentation clearly describe the type of user who should use your software?,Yes,"Yes, the youtube video doeas the task"
Do you publish case studies to show how your software has been used by yourself and others?,Yes,
Is the name of your project/software unique?,Yes,
Is your project/software name free from trademark violations?,Yes,There is no company on linkdeln or product on this name
Is your software available as a package that can be deployed without building it?,Yes,Anyone can download it and build the software from the intructions provided in readme
Is your software available for free?,Yes,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Github repository can be cloned by anyone since it’s a public repository
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/elric97/feature-hunt#readme
Is your documentation clearly available on your website or within your software?,Yes,https://github.com/elric97/feature-hunt#readme
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://www.youtube.com/watch?v=TEacECgr1qk
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/elric97/feature-hunt#readme
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,
Do you store your documentation under revision control with your source code?,Yes,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,https://github.com/elric97/feature-hunt/releases
Does your software describe how a user can get help with using your software?,Yes,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
